feature_name,feature_importances
pctextnullselfredirecthyperlinksrt,0.17730921107765585
pctexthyperlinks,0.15278153251995932
frequentdomainnamemismatch,0.10901108607043436
pctextresourceurls,0.09462379286289609
pctnullselfredirecthyperlinks,0.07498656128464017
numdash,0.06755025330818444
submitinfotoemail,0.05403933992881959
insecureforms,0.042668856756324994
extmetascriptlinkrt,0.04237969808671131
numnumericchars,0.0347812322258048
numdots,0.025249271099868895
numsensitivewords,0.01945330828539084
pathlevel,0.018771845986566223
numquerycomponents,0.014566382571949666
querylength,0.0143482059571577
iframeorframe,0.013769554984516008
urllength,0.00634146397316829
pathlength,0.005276592001577257
pctextresourceurlsrt,0.0046745633992208435
numampersand,0.004646998860790258
abnormalextformactionr,0.0044796572477785925
numdashinhostname,0.0036958401581864385
urllengthrt,0.002944727494297732
hostnamelength,0.0028390041303017976
embeddedbrandname,0.0022910540179636673
ipaddress,0.0007551812898010078
abnormalformaction,0.0007173428316369487
domaininpaths,0.0006957218837532736
relativeformaction,0.0006438917012710255
numunderscore,0.0004980069501493429
extformaction,0.00043314779326971336
randomstring,0.00040350987718149034
nohttps,0.0003871717608388085
extfavicon,0.0003362564929383401
subdomainlevelrt,0.0003058109540473258
domaininsubdomains,0.00029347788431669766
missingtitle,0.0002748524258627995
subdomainlevel,0.00027143358296576313
tildesymbol,0.00020792997617328582
numpercent,0.00013842836178146677
rightclickdisabled,9.164745624394395e-05
popupwindow,6.615448760363336e-05
fakelinkinstatusbar,0.0
imagesonlyinform,0.0
httpsinhostname,0.0
doubleslashinpath,0.0
atsymbol,0.0
numhash,0.0
